demographic/gender,interaction/schema/version,interaction/source,interaction/author/username,interaction/author/name,interaction/author/id,interaction/author/avatar,interaction/author/link,interaction/type,interaction/created_at,interaction/content,interaction/id,interaction/link,klout/score,language/tag,language/confidence,salience/content/sentiment,twitter/created_at,twitter/id,twitter/in_reply_to_screen_name,twitter/in_reply_to_status_id,twitter/in_reply_to_user_id,twitter/mention_ids/0,twitter/mentions/0,twitter/source,twitter/text,twitter/user/name,twitter/user/description,twitter/user/statuses_count,twitter/user/followers_count,twitter/user/friends_count,twitter/user/screen_name,twitter/user/profile_image_url,twitter/user/lang,twitter/user/time_zone,twitter/user/utc_offset,twitter/user/listed_count,twitter/user/id,twitter/user/id_str,twitter/user/geo_enabled,twitter/user/created_at,twitter/user/url,links/code/0,links/created_at/0,links/hops/0/0,links/normalized_url/0,links/retweet_count/0,links/title/0,links/url/0,twitter/domains/0,twitter/links/0,twitter/user/location,salience/content/entities/0/name,salience/content/entities/0/type,salience/content/entities/0/label,salience/content/entities/0/sentiment,salience/content/entities/0/evidence,salience/content/entities/0/confident,salience/content/entities/0/about,salience/content/entities/0/themes/0,salience/content/entities/1/name,salience/content/entities/1/type,salience/content/entities/1/label,salience/content/entities/1/sentiment,salience/content/entities/1/evidence,salience/content/entities/1/confident,salience/content/entities/1/about,salience/content/entities/2/name,salience/content/entities/2/type,salience/content/entities/2/label,salience/content/entities/2/sentiment,salience/content/entities/2/evidence,salience/content/entities/2/confident,salience/content/entities/2/about,salience/content/entities/3/name,salience/content/entities/3/type,salience/content/entities/3/label,salience/content/entities/3/sentiment,salience/content/entities/3/evidence,salience/content/entities/3/confident,salience/content/entities/3/about,twitter/retweet/text,twitter/retweet/id,twitter/retweet/user/name,twitter/retweet/user/url,twitter/retweet/user/description,twitter/retweet/user/location,twitter/retweet/user/statuses_count,twitter/retweet/user/followers_count,twitter/retweet/user/friends_count,twitter/retweet/user/screen_name,twitter/retweet/user/profile_image_url,twitter/retweet/user/lang,twitter/retweet/user/time_zone,twitter/retweet/user/utc_offset,twitter/retweet/user/listed_count,twitter/retweet/user/id,twitter/retweet/user/id_str,twitter/retweet/user/geo_enabled,twitter/retweet/user/created_at,twitter/retweet/source,twitter/retweet/count,twitter/retweet/created_at,twitter/retweet/hashtags/0,twitter/retweeted/id,twitter/retweeted/user/name,twitter/retweeted/user/url,twitter/retweeted/user/description,twitter/retweeted/user/location,twitter/retweeted/user/statuses_count,twitter/retweeted/user/followers_count,twitter/retweeted/user/friends_count,twitter/retweeted/user/screen_name,twitter/retweeted/user/profile_image_url,twitter/retweeted/user/lang,twitter/retweeted/user/time_zone,twitter/retweeted/user/utc_offset,twitter/retweeted/user/listed_count,twitter/retweeted/user/id,twitter/retweeted/user/id_str,twitter/retweeted/user/created_at,twitter/retweeted/source,twitter/retweeted/created_at,facebook/application,facebook/author/name,facebook/author/id,facebook/author/link,facebook/author/avatar,facebook/id,facebook/likes/count,facebook/likes/names/0,facebook/likes/names/1,facebook/likes/names/2,facebook/likes/ids/0,facebook/likes/ids/1,facebook/likes/ids/2,facebook/message,facebook/source,facebook/to/names/0,facebook/to/ids/0,facebook/type,salience/content/entities/0/themes/1,twitter/retweet/links/0,twitter/retweet/domains/0,twitter/retweeted/user/geo_enabled,salience/content/entities/4/name,salience/content/entities/4/type,salience/content/entities/4/label,salience/content/entities/4/sentiment,salience/content/entities/4/evidence,salience/content/entities/4/confident,salience/content/entities/4/about,salience/content/entities/5/name,salience/content/entities/5/type,salience/content/entities/5/label,salience/content/entities/5/sentiment,salience/content/entities/5/evidence,salience/content/entities/5/confident,salience/content/entities/5/about,salience/content/entities/6/name,salience/content/entities/6/type,salience/content/entities/6/label,salience/content/entities/6/sentiment,salience/content/entities/6/evidence,salience/content/entities/6/confident,salience/content/entities/6/about,salience/content/entities/7/name,salience/content/entities/7/type,salience/content/entities/7/label,salience/content/entities/7/sentiment,salience/content/entities/7/evidence,salience/content/entities/7/confident,salience/content/entities/7/about,salience/content/entities/8/name,salience/content/entities/8/type,salience/content/entities/8/label,salience/content/entities/8/sentiment,salience/content/entities/8/evidence,salience/content/entities/8/confident,salience/content/entities/8/about,salience/content/entities/9/name,salience/content/entities/9/type,salience/content/entities/9/label,salience/content/entities/9/sentiment,salience/content/entities/9/evidence,salience/content/entities/9/confident,salience/content/entities/9/about,salience/content/entities/10/name,salience/content/entities/10/type,salience/content/entities/10/label,salience/content/entities/10/sentiment,salience/content/entities/10/evidence,salience/content/entities/10/confident,salience/content/entities/10/about,twitter/hashtags/0,twitter/hashtags/1,twitter/retweeted/user/verified,links/hops/0/1,salience/content/entities/0/themes/2,twitter/retweet/mentions/0,twitter/retweet/mention_ids/0,salience/content/entities/1/themes/0,salience/content/entities/1/themes/1,salience/content/entities/1/themes/2,salience/content/entities/1/themes/3,salience/content/entities/1/themes/4,salience/content/entities/2/themes/0,salience/content/entities/2/themes/1,salience/content/entities/2/themes/2,salience/content/entities/2/themes/3,salience/content/entities/2/themes/4,salience/content/entities/3/themes/0,salience/content/entities/3/themes/1,salience/content/entities/3/themes/2,salience/content/entities/3/themes/3,salience/content/entities/3/themes/4,salience/content/entities/3/themes/5,salience/content/entities/3/themes/6,salience/content/entities/4/themes/0,salience/content/entities/4/themes/1,salience/content/entities/4/themes/2,salience/content/entities/4/themes/3,salience/content/entities/4/themes/4,salience/content/entities/4/themes/5,salience/content/entities/5/themes/0,salience/content/entities/5/themes/1,salience/content/entities/6/themes/0,salience/content/entities/6/themes/1,salience/content/entities/6/themes/2,salience/content/entities/6/themes/3,salience/content/entities/6/themes/4,salience/content/entities/7/themes/0,salience/content/entities/7/themes/1,salience/content/entities/7/themes/2,salience/content/entities/7/themes/3,salience/content/entities/7/themes/4,salience/content/entities/7/themes/5,salience/content/entities/7/themes/6,salience/content/entities/7/themes/7,salience/content/entities/7/themes/8
female,3,web,Arlisse,Arlisse ,3730879,http://a0.twimg.com/profile_images/682637113/image_normal.jpg,http://twitter.com/arlisse,twitter,"Thu, 14 Feb 2013 15:48:15 +0000","@blitziana verdade, td bem??",59869115194,http://twitter.com/arlisse/statuses/59869115194,40,pt,64,0,"Thu, 14 Feb 2013 15:48:15 +0000",59869115194,Blitziana,94380099233,8349954,8349954,blitziana,web,"@blitziana verdade, td bem??",Arlisse ,,40526,1010,431,Arlisse,http://a0.twimg.com/profile_images/682637113/image_normal.jpg,pt,Brasilia,-10800,1,3730879,3730879,true,"Mon, 05 Mar 2012 23:45:44 +0000",http://arlisse.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Twitter for Android,Michael,Berenghetti ,1376997,http://a0.twimg.com/profile_images/862697030/image_normal.jpg,http://twitter.com/michael,twitter,"Thu, 14 Feb 2013 15:48:15 +0000",@blackheart Haha :D. Takya nak mngade lha abg oii,41062479047,http://twitter.com/michael/statuses/41062479047,45,ms,100,,"Thu, 14 Feb 2013 15:48:15 +0000",41062479047,Blackheart,63007775414,2317299,2317299,blackheart,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@blackheart Haha :D. Takya nak mngade lha abg oii,Berenghetti ,,3150,238,236,Michael,http://a0.twimg.com/profile_images/862697030/image_normal.jpg,en,Beijing,28800,,1376997,1376997,,"Mon, 04 Feb 2013 14:10:04 +0000",http://michael.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
female,3,Buffer,Ariane,Ariane ,9613767,http://a0.twimg.com/profile_images/136035248/image_normal.jpg,http://twitter.com/ariane,twitter,"Thu, 14 Feb 2013 15:48:15 +0000",Buy to let lending £16.4 bn in 2012 that's 11.5% of total gross mortgage lending in 2012 and up from 9.8% in 2011: http://t.co/gt2Z78nh,42602352658,http://twitter.com/ariane/statuses/42602352658,50,en,100,-2,"Thu, 14 Feb 2013 15:48:15 +0000",42602352658,Dr.hesper,61572354706,3756289,,,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",Buy to let lending £16.4 bn in 2012 that's 11.5% of total gross mortgage lending in 2012 and up from 9.8% in 2011: http://t.co/gt2Z78nh,Ariane ,,2148,1870,1051,Ariane,http://a0.twimg.com/profile_images/136035248/image_normal.jpg,en,,,71,9613767,9613767,,"Wed, 19 Jan 2011 16:06:55 +0000",http://ariane.com,200,"Thu, 14 Feb 2013 09:32:09 +0000",http://buff.ly/XEcEDY,http://cml.org.uk/cml/media/press/3423,0,Buy-to-let lending £16.4 billion in 2012,http://www.cml.org.uk/cml/media/press/3423,buff.ly,http://buff.ly/XEcEDY,York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Twitter for iPhone,Dr.donald(c,Blake ,8135315,http://a0.twimg.com/profile_images/403848269/image_normal.jpg,http://twitter.com/dr.donald(c,twitter,"Thu, 14 Feb 2013 15:48:15 +0000","fouf's like ""bri! hey, how's your day going? what'd chase get you? Did you get chocolate? where's your stuff?"" BYE FOUF.",16720437398,http://twitter.com/dr.donald(c/statuses/16720437398,43,en,100,0,"Thu, 14 Feb 2013 15:48:15 +0000",16720437398,Lt.michae,42111073154,2289539,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fouf's like ""bri! hey, how's your day going? what'd chase get you? Did you get chocolate? where's your stuff?"" BYE FOUF.",Blake ,,5220,243,126,Dr.donald(c,http://a0.twimg.com/profile_images/403848269/image_normal.jpg,en,Atlantic Time (Canada),-14400,,8135315,8135315,,"Sat, 05 Dec 2009 19:43:42 +0000",http://dr.donald(c.com,,,,,,,,,,,"""bri! hey, how's your day going? what'd chase get you? Did you get chocolate? where's your stuff?""",Quote,Quote,0,1,1,0,'d chase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
male,3,Tweet Button,Baronsamedi,Baron Samedi ,3021099,http://a0.twimg.com/profile_images/790024870/image_normal.jpg,http://twitter.com/baronsamedi,twitter,"Thu, 14 Feb 2013 15:48:16 +0000",Why the Liberal Hatred of Citizens With Guns - Neal Boortz - Page 1 http://t.co/qVeNrrPs via @avius,59198233531,http://twitter.com/baronsamedi/statuses/59198233531,51,en,63,0,"Thu, 14 Feb 2013 15:48:16 +0000",59198233531,Avius,58303238824,4975846,4975846,avius,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",Why the Liberal Hatred of Citizens With Guns - Neal Boortz - Page 1 http://t.co/qVeNrrPs via @avius,Baron Samedi ,,887,36,239,Baronsamedi,http://a0.twimg.com/profile_images/790024870/image_normal.jpg,en,Central Time (US & Canada),-21600,,3021099,3021099,,"Thu, 04 Aug 2011 21:44:46 +0000",http://baronsamedi.com,200,"Thu, 14 Feb 2013 05:40:06 +0000",,http://townhall.com/columnists/nealboortz/2013/02/13/why-the-liberal-hatred-of-citizens-with-guns-n1511221,0,Why the Liberal Hatred of Citizens With Guns - Neal Boortz - Page 1,http://townhall.com/columnists/nealboortz/2013/02/13/why-the-liberal-hatred-of-citizens-with-guns-n1511221,townhall.com,http://townhall.com/columnists/nealboortz/2013/02/13/why-the-liberal-hatred-of-citizens-with-guns-n1511221,"Pittsburg, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Mobile Web (M2),Athena[greekgod],Athena [greek God] ,15190,http://a0.twimg.com/profile_images/922140372/image_normal.jpg,http://twitter.com/athena[greekgod],twitter,"Thu, 14 Feb 2013 15:48:16 +0000","RT @Seputar_LFC: Starting XI dari #LFC (vs Zenit) : Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Dow ...",14523415942,http://twitter.com/athena[greekgod]/statuses/14523415942,49,,,0,,14523415942,Olisakaba,88479943224,8048470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reina,Person,Person,0,1,1,1,,Johnson,Person,Person,0,1,1,1,Enrique,Person,Person,0,1,1,1,Carragher,Person,Person,0,1,1,1,"Starting XI dari #LFC (vs Zenit) : Reina, Johnson, Enrique, Carragher, Skrtel, Allen, Henderson, Gerrard, Sterling, Downing, Suarez.",302081835578576897,SyafrizalAdeSetiawan,http://rizalive.wordpress.com,☯ Mr.I'm-an-idiot-who-acts-all-high-and-mighty ☯,Everywhere I Like,8764,1686,169,Rizaliver,http://a0.twimg.com/profile_images/3237327804/58690f2383e3c35917c697e21def071b_normal.jpeg,id,Jakarta,25200,2,220915173,220915173,true,"Mon, 29 Nov 2010 06:10:13 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",10,"Thu, 14 Feb 2013 15:48:16 +0000",LFC,302081524868726785,Seputar Liverpool FC,http://www.facebook.com/pages/Seputar-Liverpool/272166059560844,"Berita Ter-Update Seputar LFC . Berbahasa Indonesia . #YNWA
Support Liverpool FC .
Support Timnas Indonesia .",Indonesia,25608,18330,531,Seputar_LFC,http://a0.twimg.com/profile_images/3097639193/079b2f1fe77b643d3443f9198c174ea6_normal.jpeg,id,Pacific Time (US & Canada),-28800,79,458133894,458133894,"Sun, 08 Jan 2012 06:36:58 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Еchofоn</a>","Thu, 14 Feb 2013 15:47:02 +0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
female,3,Seesmic,Henryhawk,Bird Man ,7566933,http://a0.twimg.com/profile_images/607439002/image_normal.jpg,http://twitter.com/henryhawk,twitter,"Thu, 14 Feb 2013 15:48:17 +0000",@sharonii no rek yg BCA tlg kirim k adam ya ler thanks :D,61,http://twitter.com/henryhawk/statuses/61,,id,63,,"Thu, 14 Feb 2013 15:48:17 +0000",61,Sharonii,46655701496,5275032,5275032,sharonii,"<a href=""http://seesmic.com/"" rel=""nofollow"">Seesmic</a>",@sharonii no rek yg BCA tlg kirim k adam ya ler thanks :D,Bird Man ,,6885,204,149,Henryhawk,http://a0.twimg.com/profile_images/607439002/image_normal.jpg,en,Jakarta,25200,2,7566933,7566933,true,"Fri, 06 Nov 2009 08:11:20 +0000",http://henryhawk.com,,,,,,,,,,bogor ..depok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
female,3,web,Bug,Bug ,9863245,http://a0.twimg.com/profile_images/449942369/image_normal.jpg,http://twitter.com/bug,twitter,"Thu, 14 Feb 2013 15:48:17 +0000",td dia alguém me manda sms de um numero que eu não conheço. todo dia alguém me liga no confidencial... que que eu fiz pra merecer?,84016257105,http://twitter.com/bug/statuses/84016257105,35,pt,100,-4,"Thu, 14 Feb 2013 15:48:17 +0000",84016257105,Angeldoppelganger,33217328134,5037279,,,web,td dia alguém me manda sms de um numero que eu não conheço. todo dia alguém me liga no confidencial... que que eu fiz pra merecer?,Bug ,,20328,572,88,Bug,http://a0.twimg.com/profile_images/449942369/image_normal.jpg,pt,Brasilia,-10800,1,9863245,9863245,true,"Sun, 20 Mar 2011 19:33:39 +0000",http://bug.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
male,3,Mobile (186529194704290),Bobcat,Bobcat ,2448115,http://a0.twimg.com/profile_images/116907478/image_normal.jpg,http://twitter.com/bobcat,facebook,"Thu, 14 Feb 2013 15:48:18 +0000","Waktu kecil nyanyi
""Ambilkan Bulan, Bu""
Waktu ABG nyanyi
""Aku Datang Bulan, Bu""
Waktu dewasa nyanyi
""Sembilan Bulan, Bu""
Waktu tua nyanyi
""Panggil amBulan, Bu""
NB : Nyata'a banyak yang belum dewasa tapi udah 9 Bulan..
Hadwggh gimenee niih... ""Salah Asuhan"" kali yeew??
Dulu ibu rajin menasehati kita... Sekarang malah kita yang rajin menasehati ibu biar katanya ""gak ketinggalan zaman"" kaya surti đαη Tejo (kebablasan)

Yaa Sudahlah (kata bondan) kita hanya memberi nasehat.. Kalian gak bilang waaoow jg gak papa..
Kalian bilang "" ini hak gue.badan2 gue,hati juga hati gue,mau d kemanain kek,itu urusan gue.lagian yang rugi bukan eloo""
Waraaaaww.. Pedees amiiit kate-katenye.
Walaupun aku gak ikut rugi... Tapi ortumu?? Masa depanmu? Anak2mu kelak? Akhiratmu ? Kesenangan dunia hanya sebentar... Naah loo bayangin deh ketika d kuburkan kelak... Mau minta tolong sama siapee???
Salam santun buat yang masih memuja mengagungkan nafsu belaka...
Kami hanya menunaikan kewajiban utk sesama.. Saling mengingatkan tentang agama...

MãsBrô Admïñ
♔♚♔♚♔♚♔♚♔♚♔♚♔♚♔♚♔♚♔
║☀☆ Emenouzer Ft Damansara☆®™☀║
♚♔♚♔♚♔♚♔♚♔♚♔♚♔♚♔♚♔♚",24894714704,http://twitter.com/bobcat/statuses/24894714704,,ms,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,AKU DAN HATIKU,196891610353255,http://www.facebook.com/profile.php?id=196891610353255,https://graph.facebook.com/196891610353255/picture,196891610353255_507812895927790,3,Jhum Poetry Angel,Ranti Sehati,Citra Dewi Rinduayoe,100003895398049,100002378214402,100002470785452,"Waktu kecil nyanyi
""Ambilkan Bulan, Bu""
Waktu ABG nyanyi
""Aku Datang Bulan, Bu""
Waktu dewasa nyanyi
""Sembilan Bulan, Bu""
Waktu tua nyanyi
""Panggil amBulan, Bu""
NB : Nyata'a banyak yang belum dewasa tapi udah 9 Bulan..
Hadwggh gimenee niih... ""Salah Asuhan"" kali yeew??
Dulu ibu rajin menasehati kita... Sekarang malah kita yang rajin menasehati ibu biar katanya ""gak ketinggalan zaman"" kaya surti đαη Tejo (kebablasan)

Yaa Sudahlah (kata bondan) kita hanya memberi nasehat.. Kalian gak bilang waaoow jg gak papa..
Kalian bilang "" ini hak gue.badan2 gue,hati juga hati gue,mau d kemanain kek,itu urusan gue.lagian yang rugi bukan eloo""
Waraaaaww.. Pedees amiiit kate-katenye.
Walaupun aku gak ikut rugi... Tapi ortumu?? Masa depanmu? Anak2mu kelak? Akhiratmu ? Kesenangan dunia hanya sebentar... Naah loo bayangin deh ketika d kuburkan kelak... Mau minta tolong sama siapee???
Salam santun buat yang masih memuja mengagungkan nafsu belaka...
Kami hanya menunaikan kewajiban utk sesama.. Saling mengingatkan tentang agama...

MãsBrô Admïñ
♔♚♔♚♔♚♔♚♔♚♔♚♔♚♔♚♔♚♔
║☀☆ Emenouzer Ft Damansara☆®™☀║
♚♔♚♔♚♔♚♔♚♔♚♔♚♔♚♔♚♔♚",Mobile (186529194704290),Emenouzer Ft Damansara,230706680288620,status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,web,Blackwidowdoppelga,Black Widow Doppelga ,5091149,http://a0.twimg.com/profile_images/495479704/image_normal.jpg,http://twitter.com/blackwidowdoppelga,twitter,"Thu, 14 Feb 2013 15:48:15 +0000","@hazram ahh my :""""( -- loll BUT i so broke atm luv :(",67588196508,http://twitter.com/blackwidowdoppelga/statuses/67588196508,43,en,100,-1,"Thu, 14 Feb 2013 15:48:15 +0000",67588196508,Hazram,35428910632,1080609,1080609,hazram,web,"@hazram ahh my :""""( -- loll BUT i so broke atm luv :(",Black Widow Doppelga ,,24360,872,681,Blackwidowdoppelga,http://a0.twimg.com/profile_images/495479704/image_normal.jpg,en,Arizona,-25200,,5091149,5091149,,"Sat, 03 Mar 2012 21:59:28 +0000",http://blackwidowdoppelga.com,,,,,,,,,,TwₔяkᴼnThίƨDxcҡ,"""""",Quote,Quote,0,1,1,0,atm luv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,web,Byron,Benjamin ,1427274,http://a0.twimg.com/profile_images/438407447/image_normal.jpg,http://twitter.com/byron,twitter,"Thu, 14 Feb 2013 15:48:16 +0000","druma -_- sni :p ""@vinnie mana coklatt ??? RT @ iyah :D tukeran coklat wkwkw td kmana aja?",4,http://twitter.com/byron/statuses/4,,id,100,,"Thu, 14 Feb 2013 15:48:16 +0000",4,Vinnie,39397583715,4041014,4041014,vinnie,web,"druma -_- sni :p ""@vinnie mana coklatt ??? RT @ iyah :D tukeran coklat wkwkw td kmana aja?",Benjamin ,,5304,232,214,Byron,http://a0.twimg.com/profile_images/438407447/image_normal.jpg,en,Beijing,28800,,1427274,1427274,,"Sat, 03 Dec 2011 04:31:43 +0000",http://byron.com,,,,,,,,,,KUTA-BALI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
